Answer,Question,
1,Augustine was reading a letter from St. Paul to the Romans when he had his conversion,
1,Augustine was very well educated,
0,Augustine wrote a book called The City of God about his conversion,
0,"Australia's capital, Canberra, is also her largest city.",
0,automatic teller machines provide possession utility,
0,Avogadro's number refers to the number of particles in one gram of a substance,
1,Ayn Rand believed that rational selfishness would lead to the best society.,
1,Back channeling cues are used to communicate carious types of information back to the speaker.,
0,Bankruptcy in Chapter 13 is usually to be completed in seven years.,
1,Banks reduce the transaction cost of channeling savings to credit worthy borrowers.,
1,banks usually send reports or your checking account activity each month,
1,banks work to earn a profit by selling financial services,
1,Basaltic lavas contain less silica than rhyolitic lavas,
0,Be fruitful and multiply refers only to the biological reproduction,
0,"Because of Christian and Muslim influence, Ethiopia has a very low rate of HIV infection.",
0,"Because of Christian influence, Kenya is one of Africa's least corrupt nations.",
0,"Because of its location in the south of Africa, its Muslim population is very small.",
0,"Because of specialization based on absolute advantage, most people consume little of what they produce and produce little of what they consume.",
1,"Because of the nature of the medium, copy for outdoor advertising must be concise",
0,"Because people are willing to pay more to consume now rather than wait, when mortgage rates rise, home purchases increase.",
0,"because the company trains its salespeople, the company's managers have complete control over the sales process",
